query_id,dataset,db_id,question,original_sql_query,modified_sql_query,query_issue
2063,train_spider,party_people,What are the names of parties and their respective regions?,"SELECT T1.party_name ,  T2.region_name FROM party AS T1 JOIN region AS T2 ON T1.region_id  =  T2.region_id",,
2064,train_spider,party_people,Show names of parties that does not have any members.,SELECT party_name FROM party WHERE party_id NOT IN (SELECT party_id FROM Member),SELECT Party_name FROM party WHERE Party_ID NOT IN (SELECT Party_ID FROM Member_);,
2065,train_spider,party_people,What are the names of parties that have no members?,SELECT party_name FROM party WHERE party_id NOT IN (SELECT party_id FROM Member),SELECT Party_name FROM party WHERE Party_ID NOT IN (SELECT Party_ID FROM Member_);,
2066,train_spider,party_people,Show the member names which are in both the party with id 3 and the party with id 1.,SELECT member_name FROM member WHERE party_id  =  3 INTERSECT SELECT member_name FROM member WHERE party_id  =  1,SELECT DISTINCT T1.Member_Name FROM member_ AS T1 JOIN member_ AS T2 ON T1.Member_Name = T2.Member_Name WHERE T1.Party_ID = 3 AND T2.Party_ID = 1;,
2067,train_spider,party_people,Which member names are shared among members in the party with the id 3 and the party with the id 1?,SELECT member_name FROM member WHERE party_id  =  3 INTERSECT SELECT member_name FROM member WHERE party_id  =  1,SELECT DISTINCT T1.Member_Name FROM member_ AS T1 JOIN member_ AS T2 ON T1.Member_Name = T2.Member_Name WHERE T1.Party_ID = 3 AND T2.Party_ID = 1;,
2068,train_spider,party_people,Show member names that are not in the Progress Party.,SELECT T1.member_name FROM Member AS T1 JOIN party AS T2 ON T1.party_id  =  T2.party_id WHERE T2.Party_name != 'Progress Party',SELECT T1.member_name FROM Member_ AS T1 JOIN party AS T2 ON T1.party_id  =  T2.party_id WHERE T2.Party_name != 'Progress Party',
2069,train_spider,party_people,Which member names corresponding to members who are not in the Progress Party?,SELECT T1.member_name FROM Member AS T1 JOIN party AS T2 ON T1.party_id  =  T2.party_id WHERE T2.Party_name != 'Progress Party',SELECT T1.member_name FROM Member_ AS T1 JOIN party AS T2 ON T1.party_id  =  T2.party_id WHERE T2.Party_name != 'Progress Party',
2070,train_spider,party_people,How many party events do we have?,SELECT count(*) FROM party_events,,
2071,train_spider,party_people,Count the number of party events.,SELECT count(*) FROM party_events,,
2072,train_spider,party_people,Show party names and the number of events for each party.,"SELECT T2.party_name ,  count(*) FROM party_events AS T1 JOIN party AS T2 ON T1.party_id  =  T2.party_id GROUP BY T1.party_id","SELECT T2.Party_name, COUNT(*) FROM party_events AS T1 JOIN party AS T2 ON T1.Party_ID = T2.Party_ID GROUP BY T1.Party_ID, T2.Party_name;",
2073,train_spider,party_people,How many events are there for each party?,"SELECT T2.party_name ,  count(*) FROM party_events AS T1 JOIN party AS T2 ON T1.party_id  =  T2.party_id GROUP BY T1.party_id","SELECT T2.Party_name, COUNT(*) FROM party_events AS T1 JOIN party AS T2 ON T1.Party_ID = T2.Party_ID GROUP BY T1.Party_ID, T2.Party_name;",
2074,train_spider,party_people,Show all member names who are not in charge of any event.,SELECT member_name FROM member EXCEPT SELECT T1.member_name FROM member AS T1 JOIN party_events AS T2 ON T1.member_id  =  T2.member_in_charge_id,SELECT member_name FROM member_ WHERE member_name NOT IN (SELECT T1.member_name FROM member_ AS T1 JOIN party_events AS T2 ON T1.member_id  =  T2.member_in_charge_id);,
2075,train_spider,party_people,What are the names of members who are not in charge of any events?,SELECT member_name FROM member EXCEPT SELECT T1.member_name FROM member AS T1 JOIN party_events AS T2 ON T1.member_id  =  T2.member_in_charge_id,SELECT member_name FROM member_ WHERE member_name NOT IN (SELECT T1.member_name FROM member_ AS T1 JOIN party_events AS T2 ON T1.member_id  =  T2.member_in_charge_id);,
2076,train_spider,party_people,What are the names of parties with at least 2 events?,SELECT T2.party_name FROM party_events AS T1 JOIN party AS T2 ON T1.party_id  =  T2.party_id GROUP BY T1.party_id HAVING count(*)  >=  2,"SELECT T2.Party_name FROM party_events AS T1 JOIN party AS T2 ON T1.Party_ID = T2.Party_ID GROUP BY T1.Party_ID, T2.Party_name HAVING COUNT(*) >= 2;",
2077,train_spider,party_people,Return the names of parties that have two or more events.,SELECT T2.party_name FROM party_events AS T1 JOIN party AS T2 ON T1.party_id  =  T2.party_id GROUP BY T1.party_id HAVING count(*)  >=  2,"SELECT T2.Party_name FROM party_events AS T1 JOIN party AS T2 ON T1.Party_ID = T2.Party_ID GROUP BY T1.Party_ID, T2.Party_name HAVING COUNT(*) >= 2;",
2078,train_spider,party_people,What is the name of member in charge of greatest number of events?,SELECT T1.member_name FROM member AS T1 JOIN party_events AS T2 ON T1.member_id  =  T2.member_in_charge_id GROUP BY T2.member_in_charge_id ORDER BY count(*) DESC LIMIT 1,"SELECT T1.Member_Name FROM member_ AS T1 JOIN party_events AS T2 ON T1.Member_ID = T2.Member_in_charge_ID GROUP BY T2.Member_in_charge_ID, T1.Member_Name ORDER BY COUNT(*) DESC LIMIT 1;",
2079,train_spider,party_people,Return the name of the member who is in charge of the most events.,SELECT T1.member_name FROM member AS T1 JOIN party_events AS T2 ON T1.member_id  =  T2.member_in_charge_id GROUP BY T2.member_in_charge_id ORDER BY count(*) DESC LIMIT 1,"SELECT T1.Member_Name FROM member_ AS T1 JOIN party_events AS T2 ON T1.Member_ID = T2.Member_in_charge_ID GROUP BY T2.Member_in_charge_ID, T1.Member_Name ORDER BY COUNT(*) DESC LIMIT 1;",
2080,train_spider,party_people,find the event names that have more than 2 records.,SELECT event_name FROM party_events GROUP BY event_name HAVING count(*)  >  2,,
2081,train_spider,party_people,Which event names were used more than twice for party events?,SELECT event_name FROM party_events GROUP BY event_name HAVING count(*)  >  2,,
2082,train_spider,party_people,How many Annual Meeting events happened in the United Kingdom region?,SELECT count(*) FROM region AS t1 JOIN party AS t2 ON t1.region_id  =  t2.region_id JOIN party_events AS t3 ON t2.party_id  =  t3.party_id WHERE t1.region_name  =  'United Kingdom' AND t3.Event_Name  =  'Annaual Meeting',,
2083,train_spider,party_people,Count the number of Annual Meeting events that took place in the region of the United Kingdom.,SELECT count(*) FROM region AS t1 JOIN party AS t2 ON t1.region_id  =  t2.region_id JOIN party_events AS t3 ON t2.party_id  =  t3.party_id WHERE t1.region_name  =  'United Kingdom' AND t3.Event_Name  =  'Annaual Meeting',,
2084,train_spider,pilot_record,How many pilots are there?,SELECT count(*) FROM pilot,,
2085,train_spider,pilot_record,List the names of pilots in ascending order of rank.,SELECT Pilot_name FROM pilot ORDER BY Rank ASC,"SELECT Pilot_name FROM pilot ORDER BY ""Rank"" ASC;",
2086,train_spider,pilot_record,What are the positions and teams of pilots?,"SELECT POSITION ,  Team FROM pilot","SELECT ""POSITION"", Team FROM pilot;",
2087,train_spider,pilot_record,List the distinct positions of pilots older than 30.,SELECT DISTINCT POSITION FROM pilot WHERE Age  >  30,"SELECT DISTINCT ""POSITION"" FROM pilot WHERE Age > 30;",
2088,train_spider,pilot_record,"Show the names of pilots from team ""Bradley"" or ""Fordham"".",SELECT Pilot_name FROM pilot WHERE Team  =  'Bradley' OR Team  =  'Fordham',,
2089,train_spider,pilot_record,What is the joined year of the pilot of the highest rank?,SELECT Join_Year FROM pilot ORDER BY Rank ASC LIMIT 1,"SELECT Join_Year FROM pilot ORDER BY ""Rank"" ASC LIMIT 1;",
2090,train_spider,pilot_record,What are the different nationalities of pilots? Show each nationality and the number of pilots of each nationality.,"SELECT Nationality ,  COUNT(*) FROM pilot GROUP BY Nationality",,
2091,train_spider,pilot_record,Show the most common nationality of pilots.,SELECT Nationality FROM pilot GROUP BY Nationality ORDER BY COUNT(*) DESC LIMIT 1,,
2092,train_spider,pilot_record,Show the pilot positions that have both pilots joining after year 2005 and pilots joining before 2000.,SELECT POSITION FROM pilot WHERE Join_Year	 <  2000 INTERSECT SELECT POSITION FROM pilot WHERE Join_Year	 >  2005,"SELECT ""POSITION"" FROM pilot WHERE Join_Year > 2005 GROUP BY ""POSITION"" HAVING COUNT(*) = 2;",
2093,train_spider,pilot_record,Show the names of pilots and models of aircrafts they have flied with.,"SELECT T3.Pilot_name ,  T2.Model FROM pilot_record AS T1 JOIN aircraft AS T2 ON T1.Aircraft_ID  =  T2.Aircraft_ID JOIN pilot AS T3 ON T1.Pilot_ID  =  T3.Pilot_ID",,
2094,train_spider,pilot_record,Show the names of pilots and fleet series of the aircrafts they have flied with in ascending order of the rank of the pilot.,"SELECT T3.Pilot_name ,  T2.Fleet_Series FROM pilot_record AS T1 JOIN aircraft AS T2 ON T1.Aircraft_ID  =  T2.Aircraft_ID JOIN pilot AS T3 ON T1.Pilot_ID  =  T3.Pilot_ID ORDER BY T3.Rank","SELECT T3.Pilot_name ,  T2.Fleet_Series FROM pilot_record AS T1 JOIN aircraft AS T2 ON T1.Aircraft_ID  =  T2.Aircraft_ID JOIN pilot AS T3 ON T1.Pilot_ID  =  T3.Pilot_ID ORDER BY T3.""Rank"" ASC",
2095,train_spider,pilot_record,Show the fleet series of the aircrafts flied by pilots younger than 34,SELECT T2.Fleet_Series FROM pilot_record AS T1 JOIN aircraft AS T2 ON T1.Aircraft_ID  =  T2.Aircraft_ID JOIN pilot AS T3 ON T1.Pilot_ID  =  T3.Pilot_ID WHERE T3.Age  <  34,,
2096,train_spider,pilot_record,Show the names of pilots and the number of records they have.,"SELECT T2.Pilot_name ,  COUNT(*) FROM pilot_record AS T1 JOIN pilot AS T2 ON T1.pilot_ID  =  T2.pilot_ID GROUP BY T2.Pilot_name",,
2097,train_spider,pilot_record,Show names of pilots that have more than one record.,"SELECT T2.Pilot_name ,  COUNT(*) FROM pilot_record AS T1 JOIN pilot AS T2 ON T1.pilot_ID  =  T2.pilot_ID GROUP BY T2.Pilot_name HAVING COUNT(*)  >  1",,
2098,train_spider,pilot_record,List the names of pilots that do not have any record.,SELECT Pilot_name FROM pilot WHERE Pilot_ID NOT IN (SELECT Pilot_ID FROM pilot_record),,
2099,train_spider,cre_Doc_Control_Systems,What document status codes do we have?,SELECT document_status_code FROM Ref_Document_Status;,,
2100,train_spider,cre_Doc_Control_Systems,What is the description of document status code 'working'?,SELECT document_status_description FROM Ref_Document_Status WHERE document_status_code = 'working';,,
2101,train_spider,cre_Doc_Control_Systems,What document type codes do we have?,SELECT document_type_code FROM Ref_Document_Types;,,
2102,train_spider,cre_Doc_Control_Systems,What is the description of document type 'Paper'?,SELECT document_type_description FROM Ref_Document_Types WHERE document_type_code = 'Paper';,,
2103,train_spider,cre_Doc_Control_Systems,What are the shipping agent names?,SELECT shipping_agent_name FROM Ref_Shipping_Agents;,,
2104,train_spider,cre_Doc_Control_Systems,What is the shipping agent code of shipping agent UPS?,SELECT shipping_agent_code FROM Ref_Shipping_Agents WHERE shipping_agent_name = 'UPS';,,
2105,train_spider,cre_Doc_Control_Systems,What are all role codes?,SELECT role_code FROM ROLES;,,
2106,train_spider,cre_Doc_Control_Systems,What is the description of role code ED?,SELECT role_description FROM ROLES WHERE role_code = 'ED';,,
2107,train_spider,cre_Doc_Control_Systems,How many employees do we have?,SELECT count(*) FROM Employees;,,
2108,train_spider,cre_Doc_Control_Systems,What is the role of the employee named Koby?,SELECT T1.role_description FROM ROLES AS T1 JOIN Employees AS T2 ON T1.role_code = T2.role_code WHERE T2.employee_name = 'Koby';,,
2109,train_spider,cre_Doc_Control_Systems,List all document ids and receipt dates of documents.,"SELECT document_id ,  receipt_date FROM Documents;",,
2110,train_spider,cre_Doc_Control_Systems,"How many employees does each role have? List role description, id and number of employees.","SELECT T1.role_description ,  T2.role_code ,  count(*) FROM ROLES AS T1 JOIN Employees AS T2 ON T1.role_code = T2.role_code GROUP BY T2.role_code;","SELECT T1.role_description, T2.role_code, count(*) FROM ROLES AS T1 JOIN Employees AS T2 ON T1.role_code = T2.role_code GROUP BY T2.role_code, T1.role_description;",
2111,train_spider,cre_Doc_Control_Systems,List roles that have more than one employee. List the role description and number of employees.,"SELECT Roles.role_description , count(Employees.employee_id) FROM ROLES JOIN Employees ON Employees.role_code = Roles.role_code GROUP BY Employees.role_code HAVING count(Employees.employee_id)  >  1;","SELECT Roles.role_description, count(Employees.employee_id) FROM ROLES JOIN Employees ON Employees.role_code = Roles.role_code GROUP BY Employees.role_code, Roles.role_description HAVING count(Employees.employee_id) > 1;",
2112,train_spider,cre_Doc_Control_Systems,What is the document status description of the document with id 1?,SELECT Ref_Document_Status.document_status_description FROM Ref_Document_Status JOIN Documents ON Documents.document_status_code = Ref_Document_Status.document_status_code WHERE Documents.document_id = 1;,,
2113,train_spider,cre_Doc_Control_Systems,How many documents have the status code done?,SELECT count(*) FROM Documents WHERE document_status_code = 'done';,,
2114,train_spider,cre_Doc_Control_Systems,List the document type code for the document with the id 2.,SELECT document_type_code FROM Documents WHERE document_id = 2;,,
2115,train_spider,cre_Doc_Control_Systems,List the document ids for any documents with the status code done and the type code paper.,SELECT document_id FROM Documents WHERE document_status_code = 'done' AND document_type_code = 'Paper';,,
2116,train_spider,cre_Doc_Control_Systems,What is the name of the shipping agent of the document with id 2?,SELECT Ref_Shipping_Agents.shipping_agent_name FROM Ref_Shipping_Agents JOIN Documents ON Documents.shipping_agent_code = Ref_Shipping_Agents.shipping_agent_code WHERE Documents.document_id = 2;,,
2117,train_spider,cre_Doc_Control_Systems,How many documents were shipped by USPS?,SELECT count(*) FROM Ref_Shipping_Agents JOIN Documents ON Documents.shipping_agent_code = Ref_Shipping_Agents.shipping_agent_code WHERE Ref_Shipping_Agents.shipping_agent_name = 'USPS';,,
2118,train_spider,cre_Doc_Control_Systems,Which shipping agent shipped the most documents? List the shipping agent name and the number of documents.,"SELECT Ref_Shipping_Agents.shipping_agent_name , count(Documents.document_id) FROM Ref_Shipping_Agents JOIN Documents ON Documents.shipping_agent_code = Ref_Shipping_Agents.shipping_agent_code GROUP BY Ref_Shipping_Agents.shipping_agent_code ORDER BY count(Documents.document_id) DESC LIMIT 1;","SELECT Ref_Shipping_Agents.shipping_agent_name, count(Documents.document_id) FROM Ref_Shipping_Agents JOIN Documents ON Documents.shipping_agent_code = Ref_Shipping_Agents.shipping_agent_code GROUP BY Ref_Shipping_Agents.shipping_agent_code, Ref_Shipping_Agents.shipping_agent_name ORDER BY count(Documents.document_id) DESC LIMIT 1;",
2119,train_spider,cre_Doc_Control_Systems,What is the receipt date of the document with id 3?,SELECT receipt_date FROM Documents WHERE document_id = 3;,,
2120,train_spider,cre_Doc_Control_Systems,What address was the document with id 4 mailed to?,SELECT Addresses.address_details FROM Addresses JOIN Documents_Mailed ON Documents_Mailed.mailed_to_address_id = Addresses.address_id WHERE document_id = 4;,,
2121,train_spider,cre_Doc_Control_Systems,What is the mail date of the document with id 7?,SELECT mailing_date FROM Documents_Mailed WHERE document_id = 7;,,
2122,train_spider,cre_Doc_Control_Systems,"List the document ids of documents with the status done and type Paper, which not shipped by the shipping agent named USPS.",SELECT document_id FROM Documents WHERE document_status_code  =  'done' AND document_type_code = 'Paper' EXCEPT SELECT document_id FROM Documents JOIN Ref_Shipping_Agents ON Documents.shipping_agent_code = Ref_Shipping_Agents.shipping_agent_code WHERE Ref_Shipping_Agents.shipping_agent_name = 'USPS';,SELECT document_id  FROM Documents  JOIN Ref_Shipping_Agents  ON CAST(Documents.shipping_agent_code AS TEXT) = Ref_Shipping_Agents.shipping_agent_code  WHERE Ref_Shipping_Agents.shipping_agent_name = 'USPS';,
2123,train_spider,cre_Doc_Control_Systems,List document id of documents status is done and document type is Paper and the document is shipped by shipping agent named USPS.,SELECT document_id FROM Documents WHERE document_status_code  =  'done' AND document_type_code = 'Paper' INTERSECT SELECT document_id FROM Documents JOIN Ref_Shipping_Agents ON Documents.shipping_agent_code = Ref_Shipping_Agents.shipping_agent_code WHERE Ref_Shipping_Agents.shipping_agent_name = 'USPS';,SELECT DISTINCT document_id FROM Documents LEFT JOIN Ref_Shipping_Agents ON Documents.shipping_agent_code = Ref_Shipping_Agents.shipping_agent_code WHERE document_status_code = 'done' AND document_type_code = 'Paper' AND (Ref_Shipping_Agents.shipping_agent_name = 'USPS' OR Ref_Shipping_Agents.shipping_agent_name IS NULL);,
2124,train_spider,cre_Doc_Control_Systems,What is draft detail of the document with id 7?,SELECT draft_details FROM Document_Drafts WHERE document_id = 7;,,
2125,train_spider,cre_Doc_Control_Systems,How many draft copies does the document with id 2 have?,SELECT count(*) FROM Draft_Copies WHERE document_id = 2;,,
2126,train_spider,cre_Doc_Control_Systems,Which document has the most draft copies? List its document id and number of draft copies.,"SELECT document_id , count(copy_number) FROM Draft_Copies GROUP BY document_id ORDER BY count(copy_number) DESC LIMIT 1;",,
2127,train_spider,cre_Doc_Control_Systems,Which documents have more than 1 draft copies? List document id and number of draft copies.,"SELECT document_id , count(*) FROM Draft_Copies GROUP BY document_id HAVING count(*)  >  1;",,
2128,train_spider,cre_Doc_Control_Systems,List all employees in the circulation history of the document with id 1. List the employee's name.,SELECT Employees.employee_name FROM Employees JOIN Circulation_History ON Circulation_History.employee_id = Employees.employee_id WHERE Circulation_History.document_id = 1;,,
2129,train_spider,cre_Doc_Control_Systems,List the employees who have not showed up in any circulation history of documents. List the employee's name.,SELECT employee_name FROM Employees EXCEPT SELECT Employees.employee_name FROM Employees JOIN Circulation_History ON Circulation_History.employee_id = Employees.employee_id,SELECT Employees.employee_name  FROM Employees  LEFT JOIN Circulation_History  ON Circulation_History.employee_id = Employees.employee_id  WHERE Circulation_History.employee_id IS NULL;,
2130,train_spider,cre_Doc_Control_Systems,Which employee has showed up in most circulation history documents. List the employee's name and the number of drafts and copies.,"SELECT Employees.employee_name , count(*) FROM Employees JOIN Circulation_History ON Circulation_History.employee_id = Employees.employee_id GROUP BY Circulation_History.document_id , Circulation_History.draft_number , Circulation_History.copy_number ORDER BY count(*) DESC LIMIT 1;","SELECT Employees.employee_name, count(*) FROM Employees JOIN Circulation_History ON Circulation_History.employee_id = Employees.employee_id GROUP BY Circulation_History.document_id, Circulation_History.draft_number, Circulation_History.copy_number, Employees.employee_name ORDER BY count(*) DESC LIMIT 1;",
2131,train_spider,cre_Doc_Control_Systems,"For each document, list the number of employees who have showed up in the circulation history of that document. List the document ids and number of employees.","SELECT document_id ,  count(DISTINCT employee_id) FROM Circulation_History GROUP BY document_id;",,
2132,train_spider,company_1,List all department names ordered by their starting date.,SELECT dname FROM department ORDER BY mgr_start_date,,
2133,train_spider,company_1,find all dependent names who have a spouse relation with some employee.,SELECT Dependent_name FROM dependent WHERE relationship  =  'Spouse',,
2134,train_spider,company_1,how many female dependents are there?,SELECT count(*) FROM dependent WHERE sex  =  'F',,
2135,train_spider,company_1,Find the names of departments that are located in Houston.,SELECT t1.dname FROM department AS t1 JOIN dept_locations AS t2 ON t1.dnumber  =  t2.dnumber WHERE t2.dlocation  =  'Houston',,
2136,train_spider,company_1,Return the first names and last names of employees who earn more than 30000 in salary.,"SELECT fname ,  lname FROM employee WHERE salary  >  30000",,
2137,train_spider,company_1,Find the number of employees of each gender whose salary is lower than 50000.,"SELECT count(*) ,  sex FROM employee WHERE salary  <  50000 GROUP BY sex",,
2138,train_spider,company_1,"list the first and last names, and the addresses of all employees in the ascending order of their birth date.","SELECT fname ,  lname ,  address FROM employee ORDER BY Bdate",,
2139,train_spider,local_govt_in_alabama,what are the event details of the services that have the type code 'Marriage'?,SELECT T1.event_details FROM EVENTS AS T1 JOIN Services AS T2 ON T1.Service_ID  =  T2.Service_ID WHERE T2.Service_Type_Code  =  'Marriage',,
2140,train_spider,local_govt_in_alabama,What are the ids and details of events that have more than one participants?,"SELECT T1.event_id ,  T1.event_details FROM EVENTS AS T1 JOIN Participants_in_Events AS T2 ON T1.Event_ID  =  T2.Event_ID GROUP BY T1.Event_ID HAVING count(*)  >  1","SELECT T1.event_id, T1.event_details FROM EVENTS AS T1 JOIN Participants_in_Events AS T2 ON T1.Event_ID = T2.Event_ID GROUP BY T1.Event_ID, T1.event_id, T1.event_details HAVING count(*) > 1;",
2141,train_spider,local_govt_in_alabama,"How many events have each participants attended? List the participant id, type and the number.","SELECT T1.Participant_ID ,  T1.Participant_Type_Code ,  count(*) FROM Participants AS T1 JOIN Participants_in_Events AS T2 ON T1.Participant_ID  =  T2.Participant_ID GROUP BY T1.Participant_ID","SELECT T1.Participant_ID, T1.Participant_Type_Code, count(*) FROM Participants AS T1 JOIN Participants_in_Events AS T2 ON T1.Participant_ID = T2.Participant_ID GROUP BY T1.Participant_ID, T1.Participant_Type_Code;",
2142,train_spider,local_govt_in_alabama,"What are all the the participant ids, type code and details?","SELECT Participant_ID ,  Participant_Type_Code ,  Participant_Details FROM  Participants",,
2143,train_spider,local_govt_in_alabama,How many participants belong to the type 'Organizer'?,SELECT count(*) FROM participants WHERE participant_type_code  =  'Organizer',,
2144,train_spider,local_govt_in_alabama,List the type of the services in alphabetical order.,SELECT service_type_code FROM services ORDER BY service_type_code,,
2145,train_spider,local_govt_in_alabama,List the service id and details for the events.,"SELECT service_id ,  event_details FROM EVENTS",,
2146,train_spider,local_govt_in_alabama,How many events had participants whose details had the substring 'Dr.',SELECT count(*) FROM participants AS T1 JOIN Participants_in_Events AS T2 ON T1.Participant_ID  =  T2.Participant_ID WHERE T1.participant_details LIKE '%Dr.%',,
2147,train_spider,local_govt_in_alabama,What is the most common participant type?,SELECT participant_type_code FROM participants GROUP BY participant_type_code ORDER BY count(*) DESC LIMIT 1,,
2148,train_spider,local_govt_in_alabama,Which service id and type has the least number of participants?,"SELECT T3.service_id ,  T4.Service_Type_Code FROM participants AS T1 JOIN Participants_in_Events AS T2 ON T1.Participant_ID  =  T2.Participant_ID JOIN EVENTS AS T3 ON T2.Event_ID   =  T3.Event_ID JOIN services AS T4 ON T3.service_id  =  T4.service_id GROUP BY T3.service_id ORDER BY count(*) ASC LIMIT 1","SELECT T3.service_id, T4.Service_Type_Code FROM participants AS T1 JOIN Participants_in_Events AS T2 ON T1.Participant_ID = T2.Participant_ID JOIN EVENTS AS T3 ON T2.Event_ID = T3.Event_ID JOIN services AS T4 ON T3.service_id = T4.service_id GROUP BY T3.service_id, T4.Service_Type_Code ORDER BY count(*) ASC LIMIT 1;",
2149,train_spider,local_govt_in_alabama,What is the id of the event with the most participants?,SELECT Event_ID FROM Participants_in_Events GROUP BY Event_ID ORDER BY count(*) DESC LIMIT 1,,
2150,train_spider,local_govt_in_alabama,Which events id does not have any participant with detail 'Kenyatta Kuhn'?,SELECT event_id FROM EVENTS EXCEPT SELECT T1.event_id FROM Participants_in_Events AS T1 JOIN Participants AS T2 ON T1.Participant_ID  =  T2.Participant_ID WHERE Participant_Details  =  'Kenyatta Kuhn',SELECT E.Event_ID FROM Events E LEFT JOIN ( SELECT T1.Event_ID FROM Participants_in_Events AS T1 JOIN Participants AS T2 ON T1.Participant_ID = T2.Participant_ID WHERE T2.Participant_Details = 'Kenyatta Kuhn' ) AS P ON E.Event_ID = P.Event_ID WHERE P.Event_ID IS NULL;,
2151,train_spider,local_govt_in_alabama,Which services type had both successful and failure event details?,SELECT T1.service_type_code FROM services AS T1 JOIN EVENTS AS T2 ON T1.service_id  =  T2.service_id WHERE T2.event_details  =  'Success' INTERSECT SELECT T1.service_type_code FROM services AS T1 JOIN EVENTS AS T2 ON T1.service_id  =  T2.service_id WHERE T2.event_details  =  'Fail',SELECT DISTINCT Success.Service_Type_Code FROM ( SELECT T1.Service_Type_Code FROM Services AS T1 JOIN Events AS T2 ON T1.Service_ID = T2.Service_ID WHERE T2.Event_Details = 'Success' ) AS Success JOIN ( SELECT T1.Service_Type_Code FROM Services AS T1 JOIN Events AS T2 ON T1.Service_ID = T2.Service_ID WHERE T2.Event_Details = 'Fail' ) AS Fail ON Success.Service_Type_Code = Fail.Service_Type_Code;,
2152,train_spider,local_govt_in_alabama,How many events did not have any participants?,SELECT count(*) FROM EVENTS WHERE event_id NOT IN (SELECT event_id FROM Participants_in_Events),,
2153,train_spider,local_govt_in_alabama,What are all the distinct participant ids who attended any events?,SELECT count(DISTINCT participant_id) FROM participants_in_Events,,
2154,train_spider,formula_1,What is the name of the race held most recently?,SELECT name FROM races ORDER BY date DESC LIMIT 1,"SELECT name FROM races ORDER BY ""date"" DESC LIMIT 1;",
2155,train_spider,formula_1,What is the name of the race that occurred most recently?,SELECT name FROM races ORDER BY date DESC LIMIT 1,"SELECT name FROM races ORDER BY ""date"" DESC LIMIT 1;",
2156,train_spider,formula_1,What is the name and date of the most recent race?,"SELECT name ,  date FROM races ORDER BY date DESC LIMIT 1","SELECT name, ""date"" FROM races ORDER BY ""date"" DESC LIMIT 1;",
2157,train_spider,formula_1,What is the name and date of the race that occurred most recently?,"SELECT name ,  date FROM races ORDER BY date DESC LIMIT 1","SELECT name, ""date"" FROM races ORDER BY ""date"" DESC LIMIT 1;",
2158,train_spider,formula_1,Find the names of all races held in 2017.,SELECT name FROM races WHERE YEAR = 2017,"SELECT name FROM races WHERE ""YEAR"" = 2017;",
2159,train_spider,formula_1,What are the names of all the races that occurred in the year 2017?,SELECT name FROM races WHERE YEAR = 2017,"SELECT name FROM races WHERE ""YEAR"" = 2017;",
2160,train_spider,formula_1,Find the distinct names of all races held between 2014 and 2017?,SELECT DISTINCT name FROM races WHERE YEAR BETWEEN 2014 AND 2017,"SELECT DISTINCT name FROM races WHERE ""YEAR"" BETWEEN 2014 AND 2017;",
2161,train_spider,formula_1,What are the unique names of all race held between 2014 and 2017?,SELECT DISTINCT name FROM races WHERE YEAR BETWEEN 2014 AND 2017,"SELECT DISTINCT name FROM races WHERE ""YEAR"" BETWEEN 2014 AND 2017;",
2162,train_spider,formula_1,List the forename and surname of all distinct drivers who once had laptime less than 93000 milliseconds?,"SELECT DISTINCT T1.forename ,  T1.surname FROM drivers AS T1 JOIN laptimes AS T2 ON T1.driverid = T2.driverid WHERE T2.milliseconds < 93000",,
2163,train_spider,formula_1,What are the forenames and surnames of all unique drivers who had a lap time of less than 93000 milliseconds?,"SELECT DISTINCT T1.forename ,  T1.surname FROM drivers AS T1 JOIN laptimes AS T2 ON T1.driverid = T2.driverid WHERE T2.milliseconds < 93000",,
2164,train_spider,formula_1,Find all the distinct id and nationality of drivers who have had laptime more than 100000 milliseconds?,"SELECT DISTINCT T1.driverid ,  T1.nationality FROM drivers AS T1 JOIN laptimes AS T2 ON T1.driverid = T2.driverid WHERE T2.milliseconds >  100000",,
2165,train_spider,formula_1,What are the different driver ids and nationalities of all drivers who had a laptime of more than 100000 milliseconds?,"SELECT DISTINCT T1.driverid ,  T1.nationality FROM drivers AS T1 JOIN laptimes AS T2 ON T1.driverid = T2.driverid WHERE T2.milliseconds >  100000",,
2166,train_spider,formula_1,What are the forename and surname of the driver who has the smallest laptime?,"SELECT T1.forename ,  T1.surname FROM drivers AS T1 JOIN laptimes AS T2 ON T1.driverid = T2.driverid ORDER BY T2.milliseconds LIMIT 1",,
2167,train_spider,formula_1,What is the forename and surname of the driver with the shortest laptime?,"SELECT T1.forename ,  T1.surname FROM drivers AS T1 JOIN laptimes AS T2 ON T1.driverid = T2.driverid ORDER BY T2.milliseconds LIMIT 1",,
2168,train_spider,formula_1,What is the id and family name of the driver who has the longest laptime?,"SELECT T1.driverid ,  T1.surname FROM drivers AS T1 JOIN laptimes AS T2 ON T1.driverid = T2.driverid ORDER BY T2.milliseconds DESC LIMIT 1",,
2169,train_spider,formula_1,What is the id and last name of the driver with the longest laptime?,"SELECT T1.driverid ,  T1.surname FROM drivers AS T1 JOIN laptimes AS T2 ON T1.driverid = T2.driverid ORDER BY T2.milliseconds DESC LIMIT 1",,
