query_id,db_id,tables,data_split,instruction_tokens,targeted_instruction_tokens,output_tokens,instruction,targeted_instruction,output
523,allergy_1,"['Has_Allergy', 'Student', 'Allergy_Type']",train_spider,173,173,86,"You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE Allergy_Type (Allergy TEXT, AllergyType TEXT);

CREATE TABLE Has_Allergy (StuID INTEGER, Allergy TEXT);

CREATE TABLE Student (StuID INTEGER, LName TEXT, Fname TEXT, Age INTEGER, Sex TEXT, Major INTEGER, Advisor INTEGER, city_code TEXT);

Write a SQL query to answer the following question:

What are the allergies the girl named Lisa has? And what are the types of them? Order the result by allergy names.
","You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE Has_Allergy (StuID INTEGER, Allergy TEXT);

CREATE TABLE Student (StuID INTEGER, LName TEXT, Fname TEXT, Age INTEGER, Sex TEXT, Major INTEGER, Advisor INTEGER, city_code TEXT);

CREATE TABLE Allergy_Type (Allergy TEXT, AllergyType TEXT);

Write a SQL query to answer the following question:

What are the allergies the girl named Lisa has? And what are the types of them? Order the result by allergy names.
","SELECT T1.Allergy, T1.AllergyType FROM Allergy_Type AS T1 JOIN Has_Allergy AS T2 ON T1.Allergy = T2.Allergy JOIN Student AS T3 ON T3.StuID = T2.StuID WHERE T3.Fname = 'Lisa' ORDER BY T1.Allergy;"
524,allergy_1,"['Has_Allergy', 'Student']",train_spider,164,141,53,"You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE Allergy_Type (Allergy TEXT, AllergyType TEXT);

CREATE TABLE Has_Allergy (StuID INTEGER, Allergy TEXT);

CREATE TABLE Student (StuID INTEGER, LName TEXT, Fname TEXT, Age INTEGER, Sex TEXT, Major INTEGER, Advisor INTEGER, city_code TEXT);

Write a SQL query to answer the following question:

Find the first name and gender of the student who has allergy to milk but not cat.
","You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE Has_Allergy (StuID INTEGER, Allergy TEXT);

CREATE TABLE Student (StuID INTEGER, LName TEXT, Fname TEXT, Age INTEGER, Sex TEXT, Major INTEGER, Advisor INTEGER, city_code TEXT);

Write a SQL query to answer the following question:

Find the first name and gender of the student who has allergy to milk but not cat.
","SELECT Fname, Sex FROM Student WHERE StuID IN (SELECT StuID FROM Has_Allergy WHERE Allergy = 'Milk' AND StuID NOT IN (SELECT StuID FROM Has_Allergy WHERE Allergy = 'Cat'));"
525,allergy_1,"['Has_Allergy', 'Student']",train_spider,169,146,53,"You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE Allergy_Type (Allergy TEXT, AllergyType TEXT);

CREATE TABLE Has_Allergy (StuID INTEGER, Allergy TEXT);

CREATE TABLE Student (StuID INTEGER, LName TEXT, Fname TEXT, Age INTEGER, Sex TEXT, Major INTEGER, Advisor INTEGER, city_code TEXT);

Write a SQL query to answer the following question:

What are the first name and gender of the students who have allergy to milk but can put up with cats?
","You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE Has_Allergy (StuID INTEGER, Allergy TEXT);

CREATE TABLE Student (StuID INTEGER, LName TEXT, Fname TEXT, Age INTEGER, Sex TEXT, Major INTEGER, Advisor INTEGER, city_code TEXT);

Write a SQL query to answer the following question:

What are the first name and gender of the students who have allergy to milk but can put up with cats?
","SELECT Fname, Sex FROM Student WHERE StuID IN (SELECT StuID FROM Has_Allergy WHERE Allergy = 'Milk' AND StuID NOT IN (SELECT StuID FROM Has_Allergy WHERE Allergy = 'Cat'));"
526,allergy_1,"['Has_Allergy', 'Allergy_Type', 'Student']",train_spider,163,163,150,"You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE Allergy_Type (Allergy TEXT, AllergyType TEXT);

CREATE TABLE Has_Allergy (StuID INTEGER, Allergy TEXT);

CREATE TABLE Student (StuID INTEGER, LName TEXT, Fname TEXT, Age INTEGER, Sex TEXT, Major INTEGER, Advisor INTEGER, city_code TEXT);

Write a SQL query to answer the following question:

Find the average age of the students who have allergies with food and animal types.
","You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE Has_Allergy (StuID INTEGER, Allergy TEXT);

CREATE TABLE Allergy_Type (Allergy TEXT, AllergyType TEXT);

CREATE TABLE Student (StuID INTEGER, LName TEXT, Fname TEXT, Age INTEGER, Sex TEXT, Major INTEGER, Advisor INTEGER, city_code TEXT);

Write a SQL query to answer the following question:

Find the average age of the students who have allergies with food and animal types.
","SELECT AVG(Age) FROM Student WHERE StuID IN ( SELECT DISTINCT T3.StuID FROM (SELECT T1.StuID FROM Has_Allergy AS T1 JOIN Allergy_Type AS T2 ON T1.Allergy = T2.Allergy WHERE T2.AllergyType = 'food') T3, (SELECT T1.StuID FROM Has_Allergy AS T1 JOIN Allergy_Type AS T2 ON T1.Allergy = T2.Allergy WHERE T2.AllergyType = 'animal') T4 WHERE T3.StuID = T4.StuID);"
527,allergy_1,"['Has_Allergy', 'Allergy_Type', 'Student']",train_spider,162,162,150,"You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE Allergy_Type (Allergy TEXT, AllergyType TEXT);

CREATE TABLE Has_Allergy (StuID INTEGER, Allergy TEXT);

CREATE TABLE Student (StuID INTEGER, LName TEXT, Fname TEXT, Age INTEGER, Sex TEXT, Major INTEGER, Advisor INTEGER, city_code TEXT);

Write a SQL query to answer the following question:

How old are the students with allergies to food and animal types on average?
","You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE Has_Allergy (StuID INTEGER, Allergy TEXT);

CREATE TABLE Allergy_Type (Allergy TEXT, AllergyType TEXT);

CREATE TABLE Student (StuID INTEGER, LName TEXT, Fname TEXT, Age INTEGER, Sex TEXT, Major INTEGER, Advisor INTEGER, city_code TEXT);

Write a SQL query to answer the following question:

How old are the students with allergies to food and animal types on average?
","SELECT AVG(Age) FROM Student WHERE StuID IN ( SELECT DISTINCT T3.StuID FROM (SELECT T1.StuID FROM Has_Allergy AS T1 JOIN Allergy_Type AS T2 ON T1.Allergy = T2.Allergy WHERE T2.AllergyType = 'food') T3, (SELECT T1.StuID FROM Has_Allergy AS T1 JOIN Allergy_Type AS T2 ON T1.Allergy = T2.Allergy WHERE T2.AllergyType = 'animal') T4 WHERE T3.StuID = T4.StuID);"
528,allergy_1,"['Has_Allergy', 'Student', 'Allergy_Type']",train_spider,164,164,66,"You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE Allergy_Type (Allergy TEXT, AllergyType TEXT);

CREATE TABLE Has_Allergy (StuID INTEGER, Allergy TEXT);

CREATE TABLE Student (StuID INTEGER, LName TEXT, Fname TEXT, Age INTEGER, Sex TEXT, Major INTEGER, Advisor INTEGER, city_code TEXT);

Write a SQL query to answer the following question:

List the first and last name of the students who do not have any food type allergy.
","You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE Has_Allergy (StuID INTEGER, Allergy TEXT);

CREATE TABLE Student (StuID INTEGER, LName TEXT, Fname TEXT, Age INTEGER, Sex TEXT, Major INTEGER, Advisor INTEGER, city_code TEXT);

CREATE TABLE Allergy_Type (Allergy TEXT, AllergyType TEXT);

Write a SQL query to answer the following question:

List the first and last name of the students who do not have any food type allergy.
","SELECT Fname, LName FROM Student WHERE StuID NOT IN (SELECT T1.StuID FROM Has_Allergy AS T1 JOIN Allergy_Type AS T2 ON T1.Allergy = T2.Allergy WHERE T2.AllergyType = 'food');"
529,allergy_1,"['Has_Allergy', 'Student', 'Allergy_Type']",train_spider,165,165,66,"You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE Allergy_Type (Allergy TEXT, AllergyType TEXT);

CREATE TABLE Has_Allergy (StuID INTEGER, Allergy TEXT);

CREATE TABLE Student (StuID INTEGER, LName TEXT, Fname TEXT, Age INTEGER, Sex TEXT, Major INTEGER, Advisor INTEGER, city_code TEXT);

Write a SQL query to answer the following question:

What is the full name of each student who is not allergic to any type of food.
","You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE Has_Allergy (StuID INTEGER, Allergy TEXT);

CREATE TABLE Student (StuID INTEGER, LName TEXT, Fname TEXT, Age INTEGER, Sex TEXT, Major INTEGER, Advisor INTEGER, city_code TEXT);

CREATE TABLE Allergy_Type (Allergy TEXT, AllergyType TEXT);

Write a SQL query to answer the following question:

What is the full name of each student who is not allergic to any type of food.
","SELECT Fname, LName FROM Student WHERE StuID NOT IN (SELECT T1.StuID FROM Has_Allergy AS T1 JOIN Allergy_Type AS T2 ON T1.Allergy = T2.Allergy WHERE T2.AllergyType = 'food');"
530,allergy_1,"['Has_Allergy', 'Allergy_Type', 'Student']",train_spider,165,165,64,"You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE Allergy_Type (Allergy TEXT, AllergyType TEXT);

CREATE TABLE Has_Allergy (StuID INTEGER, Allergy TEXT);

CREATE TABLE Student (StuID INTEGER, LName TEXT, Fname TEXT, Age INTEGER, Sex TEXT, Major INTEGER, Advisor INTEGER, city_code TEXT);

Write a SQL query to answer the following question:

Find the number of male (sex is 'M') students who have some food type allery.
","You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE Has_Allergy (StuID INTEGER, Allergy TEXT);

CREATE TABLE Allergy_Type (Allergy TEXT, AllergyType TEXT);

CREATE TABLE Student (StuID INTEGER, LName TEXT, Fname TEXT, Age INTEGER, Sex TEXT, Major INTEGER, Advisor INTEGER, city_code TEXT);

Write a SQL query to answer the following question:

Find the number of male (sex is 'M') students who have some food type allery.
",SELECT COUNT(*) FROM Student WHERE Sex = 'M' AND StuID IN (SELECT StuID FROM Has_Allergy AS T1 JOIN Allergy_Type AS T2 ON T1.Allergy = T2.Allergy WHERE T2.AllergyType = 'food');
531,allergy_1,"['Has_Allergy', 'Allergy_Type', 'Student']",train_spider,165,165,64,"You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE Allergy_Type (Allergy TEXT, AllergyType TEXT);

CREATE TABLE Has_Allergy (StuID INTEGER, Allergy TEXT);

CREATE TABLE Student (StuID INTEGER, LName TEXT, Fname TEXT, Age INTEGER, Sex TEXT, Major INTEGER, Advisor INTEGER, city_code TEXT);

Write a SQL query to answer the following question:

How many male students (sex is 'M') are allergic to any type of food?
","You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE Has_Allergy (StuID INTEGER, Allergy TEXT);

CREATE TABLE Allergy_Type (Allergy TEXT, AllergyType TEXT);

CREATE TABLE Student (StuID INTEGER, LName TEXT, Fname TEXT, Age INTEGER, Sex TEXT, Major INTEGER, Advisor INTEGER, city_code TEXT);

Write a SQL query to answer the following question:

How many male students (sex is 'M') are allergic to any type of food?
",SELECT COUNT(*) FROM Student WHERE Sex = 'M' AND StuID IN (SELECT StuID FROM Has_Allergy AS T1 JOIN Allergy_Type AS T2 ON T1.Allergy = T2.Allergy WHERE T2.AllergyType = 'food');
532,allergy_1,"['Has_Allergy', 'Student']",train_spider,164,141,67,"You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE Allergy_Type (Allergy TEXT, AllergyType TEXT);

CREATE TABLE Has_Allergy (StuID INTEGER, Allergy TEXT);

CREATE TABLE Student (StuID INTEGER, LName TEXT, Fname TEXT, Age INTEGER, Sex TEXT, Major INTEGER, Advisor INTEGER, city_code TEXT);

Write a SQL query to answer the following question:

Find the different first names and cities of the students who have allergy to milk or cat.
","You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE Has_Allergy (StuID INTEGER, Allergy TEXT);

CREATE TABLE Student (StuID INTEGER, LName TEXT, Fname TEXT, Age INTEGER, Sex TEXT, Major INTEGER, Advisor INTEGER, city_code TEXT);

Write a SQL query to answer the following question:

Find the different first names and cities of the students who have allergy to milk or cat.
","SELECT DISTINCT T1.Fname, T1.city_code FROM Student AS T1 JOIN Has_Allergy AS T2 ON T1.StuID = T2.StuID WHERE T2.Allergy = 'Milk' OR T2.Allergy = 'Cat';"
533,allergy_1,"['Has_Allergy', 'Student']",train_spider,167,144,67,"You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE Allergy_Type (Allergy TEXT, AllergyType TEXT);

CREATE TABLE Has_Allergy (StuID INTEGER, Allergy TEXT);

CREATE TABLE Student (StuID INTEGER, LName TEXT, Fname TEXT, Age INTEGER, Sex TEXT, Major INTEGER, Advisor INTEGER, city_code TEXT);

Write a SQL query to answer the following question:

What are the distinct first names and cities of the students who have allergy either to milk or to cat?
","You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE Has_Allergy (StuID INTEGER, Allergy TEXT);

CREATE TABLE Student (StuID INTEGER, LName TEXT, Fname TEXT, Age INTEGER, Sex TEXT, Major INTEGER, Advisor INTEGER, city_code TEXT);

Write a SQL query to answer the following question:

What are the distinct first names and cities of the students who have allergy either to milk or to cat?
","SELECT DISTINCT T1.Fname, T1.city_code FROM Student AS T1 JOIN Has_Allergy AS T2 ON T1.StuID = T2.StuID WHERE T2.Allergy = 'Milk' OR T2.Allergy = 'Cat';"
534,allergy_1,"['Has_Allergy', 'Student', 'Allergy_Type']",train_spider,169,169,78,"You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE Allergy_Type (Allergy TEXT, AllergyType TEXT);

CREATE TABLE Has_Allergy (StuID INTEGER, Allergy TEXT);

CREATE TABLE Student (StuID INTEGER, LName TEXT, Fname TEXT, Age INTEGER, Sex TEXT, Major INTEGER, Advisor INTEGER, city_code TEXT);

Write a SQL query to answer the following question:

Find the number of students who are older than 18 and do not have allergy to either food or animal.
","You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE Has_Allergy (StuID INTEGER, Allergy TEXT);

CREATE TABLE Student (StuID INTEGER, LName TEXT, Fname TEXT, Age INTEGER, Sex TEXT, Major INTEGER, Advisor INTEGER, city_code TEXT);

CREATE TABLE Allergy_Type (Allergy TEXT, AllergyType TEXT);

Write a SQL query to answer the following question:

Find the number of students who are older than 18 and do not have allergy to either food or animal.
",SELECT COUNT(*) FROM Student WHERE Age > 18 AND StuID NOT IN ( SELECT StuID FROM Has_Allergy AS T1 JOIN Allergy_Type AS T2 ON T1.Allergy = T2.Allergy WHERE T2.AllergyType = 'food' OR T2.AllergyType = 'animal');
535,allergy_1,"['Has_Allergy', 'Student', 'Allergy_Type']",train_spider,166,166,78,"You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE Allergy_Type (Allergy TEXT, AllergyType TEXT);

CREATE TABLE Has_Allergy (StuID INTEGER, Allergy TEXT);

CREATE TABLE Student (StuID INTEGER, LName TEXT, Fname TEXT, Age INTEGER, Sex TEXT, Major INTEGER, Advisor INTEGER, city_code TEXT);

Write a SQL query to answer the following question:

How many students are over 18 and do not have allergy to food type or animal type?
","You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE Has_Allergy (StuID INTEGER, Allergy TEXT);

CREATE TABLE Student (StuID INTEGER, LName TEXT, Fname TEXT, Age INTEGER, Sex TEXT, Major INTEGER, Advisor INTEGER, city_code TEXT);

CREATE TABLE Allergy_Type (Allergy TEXT, AllergyType TEXT);

Write a SQL query to answer the following question:

How many students are over 18 and do not have allergy to food type or animal type?
",SELECT COUNT(*) FROM Student WHERE Age > 18 AND StuID NOT IN ( SELECT StuID FROM Has_Allergy AS T1 JOIN Allergy_Type AS T2 ON T1.Allergy = T2.Allergy WHERE T2.AllergyType = 'food' OR T2.AllergyType = 'animal');
536,allergy_1,"['Has_Allergy', 'Student']",train_spider,163,140,31,"You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE Allergy_Type (Allergy TEXT, AllergyType TEXT);

CREATE TABLE Has_Allergy (StuID INTEGER, Allergy TEXT);

CREATE TABLE Student (StuID INTEGER, LName TEXT, Fname TEXT, Age INTEGER, Sex TEXT, Major INTEGER, Advisor INTEGER, city_code TEXT);

Write a SQL query to answer the following question:

Find the first name and major of the students who are not allegry to soy.
","You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE Has_Allergy (StuID INTEGER, Allergy TEXT);

CREATE TABLE Student (StuID INTEGER, LName TEXT, Fname TEXT, Age INTEGER, Sex TEXT, Major INTEGER, Advisor INTEGER, city_code TEXT);

Write a SQL query to answer the following question:

Find the first name and major of the students who are not allegry to soy.
","SELECT Fname, Major FROM Student WHERE StuID NOT IN (SELECT StuID FROM Has_Allergy WHERE Allergy = 'Soy');"
537,allergy_1,"['Has_Allergy', 'Student']",train_spider,163,140,31,"You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE Allergy_Type (Allergy TEXT, AllergyType TEXT);

CREATE TABLE Has_Allergy (StuID INTEGER, Allergy TEXT);

CREATE TABLE Student (StuID INTEGER, LName TEXT, Fname TEXT, Age INTEGER, Sex TEXT, Major INTEGER, Advisor INTEGER, city_code TEXT);

Write a SQL query to answer the following question:

What are the first name and major of the students who are able to consume soy?
","You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE Has_Allergy (StuID INTEGER, Allergy TEXT);

CREATE TABLE Student (StuID INTEGER, LName TEXT, Fname TEXT, Age INTEGER, Sex TEXT, Major INTEGER, Advisor INTEGER, city_code TEXT);

Write a SQL query to answer the following question:

What are the first name and major of the students who are able to consume soy?
","SELECT Fname, Major FROM Student WHERE StuID NOT IN (SELECT StuID FROM Has_Allergy WHERE Allergy = 'Soy');"
538,store_1,['invoices'],train_spider,584,163,27,"You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE artists (id INTEGER, name TEXT);

CREATE TABLE albums (id INTEGER, title TEXT NOT NULL, artist_id INTEGER NOT NULL);

CREATE TABLE employees (id INTEGER, last_name TEXT NOT NULL, first_name TEXT NOT NULL, title TEXT, reports_to INTEGER, birth_date TIMESTAMP(0), hire_date TIMESTAMP(0), address TEXT, city TEXT, state TEXT, country TEXT, postal_code TEXT, phone TEXT, fax TEXT, email TEXT);

CREATE TABLE customers (id INTEGER, first_name TEXT NOT NULL, last_name TEXT NOT NULL, company TEXT, address TEXT, city TEXT, state TEXT, country TEXT, postal_code TEXT, phone TEXT, fax TEXT, email TEXT NOT NULL, support_rep_id INTEGER);

CREATE TABLE genres (id INTEGER, name TEXT);

CREATE TABLE invoices (id INTEGER, customer_id INTEGER NOT NULL, invoice_date TIMESTAMP(0) NOT NULL, billing_address TEXT, billing_city TEXT, billing_state TEXT, billing_country TEXT, billing_postal_code TEXT, total DECIMAL(10,2) NOT NULL);

CREATE TABLE media_types (id INTEGER, name TEXT);

CREATE TABLE tracks (id INTEGER, name TEXT NOT NULL, album_id INTEGER, media_type_id INTEGER NOT NULL, genre_id INTEGER, composer TEXT, milliseconds INTEGER NOT NULL, bytes INTEGER, unit_price DECIMAL(10,2) NOT NULL);

CREATE TABLE invoice_lines (id INTEGER, invoice_id INTEGER NOT NULL, track_id INTEGER NOT NULL, unit_price DECIMAL(10,2) NOT NULL, quantity INTEGER NOT NULL);

CREATE TABLE playlists (id INTEGER, name TEXT);

CREATE TABLE playlist_tracks (playlist_id INTEGER NOT NULL, track_id INTEGER NOT NULL);

Write a SQL query to answer the following question:

A list of the top 5 countries by number of invoices. List country name and number of invoices.
","You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE invoices (id INTEGER, customer_id INTEGER NOT NULL, invoice_date TIMESTAMP(0) NOT NULL, billing_address TEXT, billing_city TEXT, billing_state TEXT, billing_country TEXT, billing_postal_code TEXT, total DECIMAL(10,2) NOT NULL);

Write a SQL query to answer the following question:

A list of the top 5 countries by number of invoices. List country name and number of invoices.
","SELECT billing_country, COUNT(*) FROM invoices GROUP BY billing_country ORDER BY COUNT(*) DESC LIMIT 5;"
539,store_1,['invoices'],train_spider,579,158,27,"You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE artists (id INTEGER, name TEXT);

CREATE TABLE albums (id INTEGER, title TEXT NOT NULL, artist_id INTEGER NOT NULL);

CREATE TABLE employees (id INTEGER, last_name TEXT NOT NULL, first_name TEXT NOT NULL, title TEXT, reports_to INTEGER, birth_date TIMESTAMP(0), hire_date TIMESTAMP(0), address TEXT, city TEXT, state TEXT, country TEXT, postal_code TEXT, phone TEXT, fax TEXT, email TEXT);

CREATE TABLE customers (id INTEGER, first_name TEXT NOT NULL, last_name TEXT NOT NULL, company TEXT, address TEXT, city TEXT, state TEXT, country TEXT, postal_code TEXT, phone TEXT, fax TEXT, email TEXT NOT NULL, support_rep_id INTEGER);

CREATE TABLE genres (id INTEGER, name TEXT);

CREATE TABLE invoices (id INTEGER, customer_id INTEGER NOT NULL, invoice_date TIMESTAMP(0) NOT NULL, billing_address TEXT, billing_city TEXT, billing_state TEXT, billing_country TEXT, billing_postal_code TEXT, total DECIMAL(10,2) NOT NULL);

CREATE TABLE media_types (id INTEGER, name TEXT);

CREATE TABLE tracks (id INTEGER, name TEXT NOT NULL, album_id INTEGER, media_type_id INTEGER NOT NULL, genre_id INTEGER, composer TEXT, milliseconds INTEGER NOT NULL, bytes INTEGER, unit_price DECIMAL(10,2) NOT NULL);

CREATE TABLE invoice_lines (id INTEGER, invoice_id INTEGER NOT NULL, track_id INTEGER NOT NULL, unit_price DECIMAL(10,2) NOT NULL, quantity INTEGER NOT NULL);

CREATE TABLE playlists (id INTEGER, name TEXT);

CREATE TABLE playlist_tracks (playlist_id INTEGER NOT NULL, track_id INTEGER NOT NULL);

Write a SQL query to answer the following question:

What are the top 5 countries by number of invoices and how many do they have?
","You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE invoices (id INTEGER, customer_id INTEGER NOT NULL, invoice_date TIMESTAMP(0) NOT NULL, billing_address TEXT, billing_city TEXT, billing_state TEXT, billing_country TEXT, billing_postal_code TEXT, total DECIMAL(10,2) NOT NULL);

Write a SQL query to answer the following question:

What are the top 5 countries by number of invoices and how many do they have?
","SELECT billing_country, COUNT(*) FROM invoices GROUP BY billing_country ORDER BY COUNT(*) DESC LIMIT 5;"
540,store_1,['invoices'],train_spider,584,163,31,"You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE artists (id INTEGER, name TEXT);

CREATE TABLE albums (id INTEGER, title TEXT NOT NULL, artist_id INTEGER NOT NULL);

CREATE TABLE employees (id INTEGER, last_name TEXT NOT NULL, first_name TEXT NOT NULL, title TEXT, reports_to INTEGER, birth_date TIMESTAMP(0), hire_date TIMESTAMP(0), address TEXT, city TEXT, state TEXT, country TEXT, postal_code TEXT, phone TEXT, fax TEXT, email TEXT);

CREATE TABLE customers (id INTEGER, first_name TEXT NOT NULL, last_name TEXT NOT NULL, company TEXT, address TEXT, city TEXT, state TEXT, country TEXT, postal_code TEXT, phone TEXT, fax TEXT, email TEXT NOT NULL, support_rep_id INTEGER);

CREATE TABLE genres (id INTEGER, name TEXT);

CREATE TABLE invoices (id INTEGER, customer_id INTEGER NOT NULL, invoice_date TIMESTAMP(0) NOT NULL, billing_address TEXT, billing_city TEXT, billing_state TEXT, billing_country TEXT, billing_postal_code TEXT, total DECIMAL(10,2) NOT NULL);

CREATE TABLE media_types (id INTEGER, name TEXT);

CREATE TABLE tracks (id INTEGER, name TEXT NOT NULL, album_id INTEGER, media_type_id INTEGER NOT NULL, genre_id INTEGER, composer TEXT, milliseconds INTEGER NOT NULL, bytes INTEGER, unit_price DECIMAL(10,2) NOT NULL);

CREATE TABLE invoice_lines (id INTEGER, invoice_id INTEGER NOT NULL, track_id INTEGER NOT NULL, unit_price DECIMAL(10,2) NOT NULL, quantity INTEGER NOT NULL);

CREATE TABLE playlists (id INTEGER, name TEXT);

CREATE TABLE playlist_tracks (playlist_id INTEGER NOT NULL, track_id INTEGER NOT NULL);

Write a SQL query to answer the following question:

A list of the top 8 countries by gross/total invoice size. List country name and gross invoice size.
","You are a experienced data analyst adept at writing SQL queries to answer user questions.

You have access to the following relational tables, with schemas below.

CREATE TABLE invoices (id INTEGER, customer_id INTEGER NOT NULL, invoice_date TIMESTAMP(0) NOT NULL, billing_address TEXT, billing_city TEXT, billing_state TEXT, billing_country TEXT, billing_postal_code TEXT, total DECIMAL(10,2) NOT NULL);

Write a SQL query to answer the following question:

A list of the top 8 countries by gross/total invoice size. List country name and gross invoice size.
","SELECT billing_country, SUM(total) FROM invoices GROUP BY billing_country ORDER BY SUM(total) DESC LIMIT 8;"
